Name,Slug,kwh_value
College_or_university,College_or_university,17.4
preK-12,preK-12,9.8
Grocery_or_Convenience_Store,Grocery_or_Convenience_Store,48.7
Restaurant_or_cafeteria,Restaurant_or_cafeteria,43.5
"Bar,_pub,_or_lounge","Bar,_pub,_or_lounge",26.3
Inpatient_Health_Care,Inpatient_Health_Care,31
Outpatient_Health_Care,Outpatient_Health_Care,18.7
Health_Care_Office,Health_Care_Office,16
Lodging,Lodging,15.3
Nursing_home_or_assisted_living,Nursing_home_or_assisted_living,18.4
Retail_store,Retail_store,15.4
Vehicle_dealership,Vehicle_dealership,14
Shopping_Center,Shopping_Center,21.1
Office,Office,15.9
Library,Library,15.2
Entertainment_or_Cultural_Center,Entertainment_or_Cultural_Center,16
Recreation_Center,Recreation_Center,13.1
Social_or_Meeting_Rooms,Social_or_Meeting_Rooms,10.2
"Public_order,_Fire_and_Police_Stations","Public_order,_Fire_and_Police_Stations",14.9
Religious_worship,Religious_worship,5.2
Post_office_or_postal_center,Post_office_or_postal_center,9.2
Vehicle_service_or_repair,Vehicle_service_or_repair,8.7
"Non_vehicle_service_(dry_cleaner,_salon,_copy,_tanning,_etc)","Non_vehicle_service_(dry_cleaner,_salon,_copy,_tanning,_etc)",9.6
Warehouse,Warehouse,6.6
Self_storage_units,Self_storage_units,4.6
Laboratory,Laboratory,40.8