building_type,description,fuel_oil_gallon_sqft,nat_gas_ccf_sqft,water_gallon_sqft,electric_kwh_sqft,,,
college_university,College or university,0.09,0.448,14.6,17.4,,,
prek_12,preK-12,0.09,0.267,14.6,9.8,,,
grocery_convenience,Grocery or Convenience Store,0.05,0.613,12.6,48.7,,,
restaurant,Restaurant,0.05,1.78,26.25,43.5,,,
bar_pub_lounge,"Bar, pub, or lounge",0.05,0.92,24.9,26.3,,,
impatient_health_care,Inpatient Health Care,0.05,1.011,49.6,31,,,
outpatient_health_care,Outpatient Health Care,0.05,0.38,15.6,18.7,,,
health_care_off,Health Care Office,0.02,0.225,14.6,16,,,
lodging,Lodging,0.03,0.438,41.7,15.3,,,
nursing_home_assisted_livign,Nursing home or assisted living,0.03,0.628,41.7,18.4,,,
retail,Retail Store,0.12,0.199,12.6,15.4,,,
vehicle_dealership,Vehicle dealership,0.12,0.335,12.6,14,,,
shopping_center,Shopping center,0.06,0.47,11.8,21.1,,,
office,Office,0.02,0.268,14.6,15.9,,,
library,Library,0.03,0.339,25.7,15.2,,,
entertainment_culture_center,Entertainment or Cultural Center,0.03,0.307,25.7,16,,,
recreation,Recreation Center,0.03,0.349,25.7,13.1,,,
social_meeting_room,Social or Meeting Rooms,0.03,0.349,25.7,10.2,,,
public_order_fire_police,"Public order, Fire and Police Stations",0.02,0.395,42.1,14.9,,,
religious_worship,Religious worship,0.1,0.281,25.7,5.2,,,
post_office_postal_center,Post office or postal center,0.16,0.427,14.6,9.2,,,
vehicle_service_repair,Vehicle service or repair,0.16,0.423,20.3,8.7,,,
service_repair_salon_dry_cleaner_copy,"Service (Repair, Salon, Dry Cleaner, Copy, etc)",0.16,0.651,20.3,9.6,,,
warehouse,Warehouse,0.02,0.22,3.4,6.6,,,
self_storage_units,Self storage units,0.02,0.194,3.4,4.6,,,
laboratory,Laboratory,0.05,1.141,20.3,40.8,,,